Pallet: "claims", Extrinsic: "claim", Lowest values: [], Highest values: [], Steps: [100], Repeat: 100
u,extrinsic_time,storage_root_time
110,30166000,7043000
110,29526000,7015000
110,30511000,7058000
110,37668000,8558000
110,43049000,8405000
110,32783000,7407000
110,32109000,7182000
110,32303000,7241000
110,29488000,6879000
110,29607000,6976000
110,30706000,6977000
110,34896000,7135000
110,35511000,9600000
110,38698000,8764000
110,36577000,8460000
110,30559000,8405000
110,33515000,6844000
110,29225000,6976000
110,29415000,6876000
110,28537000,6734000
110,30881000,6778000
110,29349000,6780000
110,28544000,6925000
110,30828000,6921000
110,29393000,6964000
110,29194000,6965000
110,30487000,6891000
110,29990000,6879000
110,29017000,6981000
110,29361000,6733000
110,29463000,6964000
110,28777000,6785000
110,29974000,7048000
110,30424000,6893000
110,28906000,6977000
110,29045000,6887000
110,28706000,6692000
110,28930000,6932000
110,28969000,6829000
110,28124000,6616000
110,33656000,6701000
110,30812000,8437000
110,36625000,7356000
110,30020000,7114000
110,31561000,7187000
110,30626000,7017000
110,33153000,7087000
110,43104000,8820000
110,36949000,8375000
110,31632000,7161000
110,28861000,6976000
110,29509000,6850000
110,33308000,8409000
110,33213000,7788000
110,29681000,7148000
110,34656000,8360000
110,36458000,8610000
110,36385000,11826000
110,33434000,7517000
110,29784000,6927000
110,29184000,6995000
110,28999000,6878000
110,29246000,7352000
110,29460000,6998000
110,31399000,7967000
110,35848000,8517000
110,36016000,8745000
110,32729000,7130000
110,30180000,7432000
110,31562000,7026000
110,33320000,8388000
110,35071000,8540000
110,33099000,7170000
120,30694000,7882000
120,30005000,7182000
120,30719000,7044000
120,31579000,7240000
120,30629000,8845000
120,30314000,7289000
120,30387000,7157000
120,32881000,7369000
120,32331000,7456000
120,31510000,7562000
120,34126000,7276000
120,29872000,7182000
120,32970000,7524000
120,31369000,7708000
120,30555000,7158000
120,29395000,6770000
120,29307000,7463000
120,36754000,8727000
120,37636000,9196000
120,37081000,9112000
120,45164000,11096000
120,35557000,8074000
120,32445000,8521000
120,35982000,8307000
120,30410000,8039000
120,35637000,8218000
120,35279000,8217000
120,34252000,7495000
120,35386000,8195000
120,34004000,7011000
120,33311000,7247000
120,34762000,8361000
120,36050000,8690000
120,36590000,8880000
120,35003000,7774000
120,40187000,10829000
120,41833000,8479000
120,40850000,9771000
120,39453000,9069000
120,36824000,8836000
120,36275000,8443000
120,32358000,6965000
120,29943000,7084000
120,29683000,6927000
120,29672000,6883000
120,29742000,7188000
120,34635000,8640000
120,35292000,8426000
120,35193000,7090000
120,35707000,8462000
120,33213000,7155000
120,29391000,6907000
120,29392000,6831000
120,31051000,6764000
120,34567000,7852000
120,30234000,6843000
120,29937000,6986000
120,29144000,6687000
120,29033000,6838000
120,31793000,6691000
120,28651000,6755000
120,28701000,6850000
120,29049000,7038000
120,30486000,6717000
120,28501000,6838000
120,30072000,6938000
120,28914000,6730000
120,28466000,6737000
120,29604000,6941000
120,29790000,6961000
120,31416000,6836000
120,29587000,6747000
120,29202000,6784000
120,30730000,7513000
120,29230000,6894000
120,29391000,6862000
120,29002000,6718000
120,28467000,6654000
120,28379000,6739000
120,28454000,6899000
120,35000000,8279000
120,34893000,7639000
120,33333000,6792000
120,29211000,6937000
120,29253000,6873000
120,30181000,6701000
120,29030000,6947000
120,30004000,6882000
120,28503000,6927000
120,32550000,7049000
120,34831000,8153000
120,32641000,7407000
120,30251000,7380000
120,30235000,7101000
120,42925000,10029000
120,35626000,8504000
120,32298000,6786000
120,28803000,6886000
120,29710000,7340000
120,33712000,7561000
130,36827000,8656000
130,33616000,6475000
130,29657000,6033000
130,29800000,6133000
130,29956000,7205000
130,32961000,7006000
130,30525000,6331000
130,30717000,6150000
130,28332000,5875000
130,32679000,6988000
130,28492000,6030000
130,28318000,5930000
130,27927000,5913000
130,28559000,5862000
130,27793000,5776000
130,30423000,5931000
130,28267000,5933000
130,28471000,5818000
130,29760000,5817000
130,32232000,5873000
130,30878000,6024000
130,28760000,5865000
130,34081000,6828000
130,31593000,5947000
130,33068000,6667000
130,31311000,5936000
130,28831000,6147000
130,30123000,5935000
130,34931000,7810000
130,36088000,7771000
130,36078000,7420000
130,34964000,7425000
130,35837000,7561000
130,45013000,8334000
130,35171000,6204000
130,33408000,6209000
130,30664000,6800000
130,30729000,6486000
130,33331000,6651000
130,32253000,6641000
130,31603000,6581000
130,35151000,7477000
130,33325000,6616000
130,29710000,6427000
130,29970000,6537000
130,31446000,6727000
130,30503000,6440000
130,30824000,6725000
130,30208000,6235000
130,30260000,6825000
130,30802000,6147000
130,36485000,7703000
130,39671000,7391000
130,44080000,9050000
130,36802000,7329000
130,33466000,6529000
130,34404000,6362000
130,34906000,7576000
130,36025000,7670000
130,35472000,7569000
130,35086000,7359000
130,31977000,6146000
130,31566000,7008000
130,37331000,7492000
130,35668000,8461000
130,36189000,7491000
